#{"t_start": 1720428502.585263, "env_id": "None"}
r,l,t
19.0,1024,0.737313
-553.0,1024,1.574688
105.0,1024,2.31662
103.0,1024,3.268735
-131.0,1024,4.196958
-689.0,1024,5.0436
-343.0,1024,5.886215
