#{"t_start": 1720426111.959017, "env_id": "None"}
r,l,t
-196.0,1024,1.06656
-406.0,1024,1.858814
-77.0,1024,2.505573
-60.0,1024,3.125895
-243.0,1024,3.773605
-229.0,1024,4.439629
-226.0,1024,5.092956
-76.0,1024,5.74632
-77.0,1024,6.430971
23.0,1024,7.084769
-9.0,1024,7.737965
26.0,1024,8.382011
-3.0,1024,9.059593
-59.0,1024,9.771518
0.0,1024,10.421487
20.0,1024,11.065202
12.0,1024,11.986931
-58.0,1024,12.725566
-18.0,1024,13.401145
-13.0,1024,14.049192
31.0,1024,14.739515
-1.0,1024,15.386506
9.0,1024,16.305026
4.0,1024,16.99536
-3.0,1024,17.697801
47.0,1024,18.44131
1.0,1024,19.117632
1.0,1024,19.826436
-23.0,1024,20.494876
72.0,1024,21.163447
39.0,1024,21.870297
48.0,1024,22.548663
20.0,1024,23.22499
-20.0,1024,23.931754
5.0,1024,24.606952
-99.0,1024,25.348421
47.0,1024,26.013215
21.0,1024,26.647989
-8.0,1024,27.289676
8.0,1024,27.95633
-6.0,1024,28.625252
9.0,1024,29.313967
-7.0,1024,29.958514
24.0,1024,30.604037
34.0,1024,31.290444
-7.0,1024,31.955588
-40.0,1024,32.630297
-2.0,1024,33.269859
2.0,1024,34.257676
0.0,1024,34.798659
-75.0,1024,35.210655
-22.0,1024,35.631039
-42.0,1024,36.062633
18.0,1024,36.502719
-15.0,1024,36.963104
13.0,1024,37.37931
13.0,1024,37.805852
-42.0,1024,38.257649
8.0,1024,38.70424
-8.0,1024,39.150615
-11.0,1024,39.57516
-8.0,1024,40.066148
-9.0,1024,40.493844
6.0,1024,40.914606
-18.0,1024,41.326915
45.0,1024,41.737311
2.0,1024,42.146132
102.0,1024,42.564606
-31.0,1024,42.986985
-5.0,1024,43.421796
13.0,1024,44.521307
15.0,1024,45.468045
-9.0,1024,46.071342
23.0,1024,46.566906
2.0,1024,47.221604
34.0,1024,47.632107
40.0,1024,48.054021
-2.0,1024,48.478936
42.0,1024,48.947026
28.0,1024,49.377567
20.0,1024,49.813757
-1.0,1024,50.221837
-27.0,1024,50.659474
0.0,1024,51.072013
9.0,1024,51.482478
-19.0,1024,51.921843
65.0,1024,52.33966
-15.0,1024,52.766505
20.0,1024,53.200228
30.0,1024,53.71971
4.0,1024,54.227078
20.0,1024,54.645958
25.0,1024,55.08212
-3.0,1024,55.505006
10.0,1024,55.930704
16.0,1024,56.353864
42.0,1024,56.839195
24.0,1024,57.257879
101.0,1024,57.697901
5.0,1024,58.158271
-2.0,1024,58.610084
-58.0,1024,59.045028
